"County","FAFSA","POP","CO_Per"
"Accomack County",148,369,40.11
"Albemarle County",589,1103,53.4
"Alexandria City",495,971,50.98
"Alleghany County",71,157,45.22
"Amelia County",54,128,42.19
"Amherst County",95,289,32.87
"Appomattox County",42,150,28
"Arlington County",851,1751,48.6
"Augusta County",309,762,40.55
"Bath County",18,31,58.06
"Bedford County",273,758,36.02
"Bland County",25,45,55.56
"Botetourt County",237,409,57.95
"Bristol City",86,165,52.12
"Brunswick County",47,124,37.9
"Buchanan County",91,216,42.13
"Buckingham County",60,139,43.17
"Buena Vista City",21,62,33.87
"Campbell County",205,596,34.4
"Caroline County",115,268,42.91
"Carroll County",100,267,37.45
"Charles City County",18,46,39.13
"Charlotte County",52,108,48.15
"Charlottesville City",157,286,54.9
"Chesapeake City",1490,3194,46.65
"Chesterfield County",2252,4762,47.29
"Clarke County",76,168,45.24
"Colonial Beach",26,37,70.27
"Colonial Heights City",274,214,128.04
"Covington City",33,64,51.56
"Craig County",21,51,41.18
"Culpeper County",274,581,47.16
"Cumberland County",41,106,38.68
"Danville City",140,371,37.74
"Dickenson County",64,137,46.72
"Dinwiddie County",148,327,45.26
"Essex County",36,101,35.64
"Fairfax County",7746,14552,53.23
"Falls Church City",115,194,59.28
"Fauquier County",446,999,44.64
"Floyd County",95,157,60.51
"Fluvanna County",173,287,60.28
"Franklin City",35,69,50.72
"Franklin County",246,494,49.8
"Frederick County",412,1038,39.69
"Fredericksburg City",125,242,51.65
"Galax City",50,91,54.95
"Giles County",101,171,59.06
"Gloucester County",162,424,38.21
"Goochland County",113,203,55.67
"Grayson County",62,115,53.91
"Greene County",120,224,53.57
"Greensville County",54,149,36.24
"Halifax County",127,340,37.35
"Hampton City",537,1185,45.32
"Hanover County",749,1411,53.08
"Harrisonburg City",218,459,47.49
"Henrico County",1876,3757,49.93
"Henry County",264,549,48.09
"Highland County",6,16,37.5
"Hopewell City",93,249,37.35
"Isle of Wight County",190,393,48.35
"King and Queen County",25,37,67.57
"King George County",115,321,35.83
"King William County",64,188,34.04
"Lancaster County",45,91,49.45
"Lee County",78,195,40
"Loudoun County",3688,6447,57.2
"Louisa County",140,365,38.36
"Lunenburg County",32,107,29.91
"Lynchburg City",300,576,52.08
"Madison County",56,142,39.44
"Manassas",192,535,35.89
"Manassas Park City",87,237,36.71
"Martinsville City",57,126,45.24
"Mathews County",27,93,29.03
"Mecklenburg County",140,293,47.78
"Middlesex County",26,84,30.95
"Montgomery County",468,671,69.75
"Nelson County",61,132,46.21
"New Kent County",90,229,39.3
"Newport News City",655,1760,37.22
"Norfolk City",724,1615,44.83
"Northampton County",41,101,40.59
"Northumberland County",54,110,49.09
"Norton City",45,52,86.54
"Nottoway County",45,130,34.62
"Orange County",158,393,40.2
"Page County",94,246,38.21
"Patrick County",72,137,52.55
"Petersburg City",91,250,36.4
"Pittsylvania County",316,675,46.81
"Poquoson City",74,153,48.37
"Portsmouth City",356,863,41.25
"Powhatan County",145,341,42.52
"Prince Edward County",48,123,39.02
"Prince George County",153,441,34.69
"Prince William County",3229,7022,45.98
"Pulaski County",168,253,66.4
"Radford City",89,124,71.77
"Rappahannock County",31,65,47.69
"Richmond City",419,1056,39.68
"Richmond County",53,99,53.54
"Roanoke City",376,781,48.14
"Roanoke County",695,1113,62.44
"Rockbridge County",108,207,52.17
"Rockingham County",438,915,47.87
"Russell County",154,286,53.85
"Salem City",189,278,67.99
"Scott County",116,235,49.36
"Shenandoah County",178,467,38.12
"Smyth County",121,278,43.53
"Southampton County",86,192,44.79
"Spotsylvania County",734,1798,40.82
"Stafford County",831,2361,35.2
"Staunton City",91,202,45.05
"Suffolk City",400,807,49.57
"Surry County",26,54,48.15
"Sussex County",41,72,56.94
"Tazewell County",224,441,50.79
"Virginia Beach City",2348,4959,47.35
"Warren County",117,412,28.4
"Washington County",252,566,44.52
"Waynesboro City",67,185,36.22
"West Point",36,65,55.38
"Westmoreland County",49,106,46.23
"Williamsburg-James City County",415,950,43.68
"Winchester City",111,264,42.05
"Wise County",210,412,50.97
"Wythe County",159,281,56.58
"York County",473,964,49.07
